recipe_id,length,sentiment,topics,persona_name,characteristics.age,characteristics.gender_identity,characteristics.occupation,characteristics.political_leaning,characteristics.communication_style,characteristics.core_motivation
rID_1026,Medium,Very Positive,"['Crime & Community Safety', 'Housing & Planning']",The Asylum Seeker,28,Male,Not permitted to work,"Entirely focused on their legal case, not party politics.","A desperate plea for help, often with assistance from a charity or legal aid.",A life-or-death situation concerning their asylum case or conditions in temporary accommodation.
rID_769,Medium,Very Positive,['Social Security & Benefits'],The Individual with a Strong Distrust of Authority,42,Male,"Varies, often self-employed",Believes in conspiracy theories and sees the government as an oppressive force.,"Accusatory, suspicious in tone, may link to esoteric websites.",A belief that they are uncovering a conspiracy or fighting a hidden injustice.
rID_1174,Short,Positive,"['Immigration & Asylum', 'Cost of Living & Economy']",The Local Journalist,33,Female,Journalist,Professionally impartial.,"Professional, inquisitive, direct, and often on a deadline.",Seeking comments and holding the MP accountable for local stories.
rID_239,Medium,Very Negative,['Transportation & Infrastructure'],The 'Established Liberal' Professional,52,Male,Lawyer,"Socially liberal and economically centrist, likely a Liberal Democrat voter.","Articulate, well-reasoned, and focused on principles.","Upholding the rule of law, individual freedoms, and rational policymaking."
rID_188,Medium,Very Negative,['Immigration & Asylum'],The 'Gig Economy' Worker,26,Male,Delivery Driver / Freelancer,"Likely left-leaning, feels disenfranchised.","Often written late at night, expressing frustration with a lack of rights and security.",The precariousness of modern work and a desire for better employment rights.
rID_587,Medium,Positive,['Consumer Rights & Issues'],The 'Civic Pragmatist' Community Leader,45,Female,Charity Manager / Community Leader,"Politically centrist, pragmatic, and non-partisan in their community role.","Collaborative, solution-oriented, and professional.",Improving the local community and seeking partnership for practical outcomes.
rID_181,Long,Mixed,['Business & Enterprise'],The 'Civic Pragmatist' Community Leader,45,Female,Charity Manager / Community Leader,"Politically centrist, pragmatic, and non-partisan in their community role.","Collaborative, solution-oriented, and professional.",Improving the local community and seeking partnership for practical outcomes.
rID_1041,Long,Very Negative,"['Pensions & National Insurance', 'Healthcare & NHS']",The Person with No Fixed Abode,35,Male,Homeless,Completely disenfranchised.,"Sent from a library or a friend's phone, focused and direct about a fundamental need.","A matter of survival, such as access to shelter, food, or services."
rID_406,Medium,Very Positive,['Healthcare & NHS'],The 'Left-Behind Patriot' Factory Worker,50,Male,Factory Worker,Traditionally Labour but now politically homeless or leans towards populist right.,Expresses a tone of disillusionment and a sense of injustice; can be emotional.,A feeling that their community has been forgotten by politicians and a desire for secure employment.
rID_26,Medium,Mixed,['Crime & Community Safety'],The 'Established Liberal' Professional,52,Male,Lawyer,"Socially liberal and economically centrist, likely a Liberal Democrat voter.","Articulate, well-reasoned, and focused on principles.","Upholding the rule of law, individual freedoms, and rational policymaking."
rID_881,Medium,Positive,"['Housing & Planning', 'Energy & Utilities']",The Landlord,55,Male,Property Landlord,"Tends to be right-leaning, focused on property rights and minimal regulation.","Driven by financial self-interest, can be defensive in tone.",Protecting their investment and business interests from perceived hostile regulation.
rID_199,Medium,Neutral,['Social Security & Benefits'],The 'Middle Briton' who is Hard to Win Over,45,Gender-neutral,Office Manager / Administrator,"In the middle ground on many issues, a key swing voter.",Pragmatic and focused on a specific local issue without broader political commentary.,A practical problem that needs a practical solution from their elected representative.
rID_281,Medium,Positive,"[""Employment & Workers' Rights""]",The 'Soft-Left Liberal' Teacher,35,Female,Secondary School Teacher,"Centre-left, likely a Labour or Green voter.","Well-written, informed by professional experience, blending rational concern with emotional frustration.",A sense of duty to her students and the future of the education system.
rID_762,Medium,Mixed,['Crime & Community Safety'],The 'Loyal National' Brexiteer,60,Male,Skilled Tradesman,"Patriotic, firm believer in Brexit, distrustful of the 'establishment'.","Passionate, sometimes frustrated, and direct.",A strong sense of national sovereignty and a feeling of betrayal by political elites.
rID_574,Medium,Very Positive,['Housing & Planning'],The Asylum Seeker,28,Male,Not permitted to work,"Entirely focused on their legal case, not party politics.","A desperate plea for help, often with assistance from a charity or legal aid.",A life-or-death situation concerning their asylum case or conditions in temporary accommodation.
rID_257,Medium,Mixed,['Disability Rights & Access'],The Trade Union Representative,48,Male,"Union Rep (e.g., in transport, manufacturing)",Strongly Labour.,"Formal, collective in nature ('on behalf of our members'), and firm.","Advocating for workers' rights, pay, and conditions."
rID_590,Medium,Very Positive,['Cost of Living & Economy'],The 'Civic Pragmatist' Community Leader,45,Female,Charity Manager / Community Leader,"Politically centrist, pragmatic, and non-partisan in their community role.","Collaborative, solution-oriented, and professional.",Improving the local community and seeking partnership for practical outcomes.
rID_322,Medium,Positive,['Crime & Community Safety'],The Landlord,55,Male,Property Landlord,"Tends to be right-leaning, focused on property rights and minimal regulation.","Driven by financial self-interest, can be defensive in tone.",Protecting their investment and business interests from perceived hostile regulation.
rID_1104,Medium,Mixed,"['Housing & Planning', 'Social Security & Benefits']",The Civil Servant (personal capacity),50,Female,Civil Servant,"Professionally neutral, personally likely centrist.","Exceptionally well-written, formal, and discreetly points out a policy flaw without being overtly critical.","A sense of public duty to point out a serious, unintended consequence of a policy she has observed professionally."
rID_561,Medium,Negative,['Social Security & Benefits'],The 'Established Liberal' Professional,52,Male,Lawyer,"Socially liberal and economically centrist, likely a Liberal Democrat voter.","Articulate, well-reasoned, and focused on principles.","Upholding the rule of law, individual freedoms, and rational policymaking."
rID_617,Medium,Neutral,"['Culture, Media & Sport']",The Single-Issue Campaigner,38,Female,Works Part-Time,"Varies depending on the issue, but highly engaged on that one topic.","Persistent, detailed, emotionally invested, and well-informed on their specific topic.","An intense personal or moral connection to a specific cause (e.g., animal welfare, health condition, local development)."
rID_43,Medium,Mixed,['Childcare & Family Support'],The Young Person in the Care System,19,Female,Care Leaver,Distrustful of authority figures and the 'system'.,A powerful and emotional personal testimony of her experiences.,A feeling of being let down by the care system and a desire for change for others.
rID_812,Short,Very Positive,['Housing & Planning'],The 'Civic Pragmatist' Community Leader,45,Female,Charity Manager / Community Leader,"Politically centrist, pragmatic, and non-partisan in their community role.","Collaborative, solution-oriented, and professional.",Improving the local community and seeking partnership for practical outcomes.
rID_272,Medium,Neutral,['Disability Rights & Access'],The Asylum Seeker,28,Male,Not permitted to work,"Entirely focused on their legal case, not party politics.","A desperate plea for help, often with assistance from a charity or legal aid.",A life-or-death situation concerning their asylum case or conditions in temporary accommodation.
rID_1012,Medium,Mixed,"['Local Government & Council Tax', 'Housing & Planning']",The Person with a Rare Disease,34,Female,Unable to work due to illness,Becomes an expert in health policy related to her condition.,"Well-researched, articulate, and a desperate plea for help.",Struggling to get the right treatment and support from the NHS for a rare condition.
